lon lat
-122.1504692 37.4531598
-122.1518417 37.4539013
-122.151815 37.4539921
-122.1472049 37.4517113
-122.1504355 37.452609
-122.1533232 37.454693
-122.1504944 37.4533048
-122.1505526 37.4535508
-122.1410368 37.4540785
-122.1504085 37.4513912
-122.1465591 37.4490067
-122.1472218 37.4518587
-122.1501504 37.4525195
-122.1503648 37.4535552
-122.1500675 37.4535489
-122.1497589 37.4535609
-122.1500908 37.4511412
-122.146353 37.4489968
-122.1501837 37.4517374
-122.1497935 37.4533152
-122.153086 37.4549179
-122.1499977 37.452485
-122.1499921 37.4531011
-122.1497675 37.4530096
-122.1472079 37.4520941
-122.1426955 37.4544592
-122.1500196 37.451347
-122.1510599 37.4537737
-122.1540305 37.4555377
-122.1525194 37.4546285
-122.1461901 37.4489893
-122.15 37.4517726
-122.1515221 37.4541151
-122.1498326 37.452485
-122.1528972 37.455181
-122.1498435 37.4513598
-122.1459659 37.4490153
-122.1498388 37.4517891
-122.1498289 37.452127
-122.15237 37.4547442
-122.1496471 37.4524459
-122.1508983 37.453917
-122.1496777 37.4513619
-122.1507708 37.4540706
-122.1466854 37.4522254
-122.1458076 37.4490348
-122.1496891 37.4517805
-122.1495948 37.4510605
-122.1472096 37.4523138
-122.1494805 37.45309
-122.1493231 37.4522455
-122.1521614 37.4549571
-122.1526957 37.4554301
-122.1466994 37.4524952
-122.1537583 37.4556861
-122.1494927 37.4517794
-122.1471247 37.4525276
-122.1494528 37.4513732
-122.1519724 37.4551825
-122.1493281 37.4517766
-122.1490478 37.4534995
-122.1490593 37.4536069
-122.1490449 37.4524395
-122.1491058 37.4522108
-122.1535774 37.4559146
-122.1490715 37.4530729
-122.1490857 37.4514065
-122.1525059 37.4555908
-122.149041 37.4517501
-122.1488036 37.4535341
-122.1489638 37.4520795
-122.145573 37.4490472
-122.148784 37.4524724
-122.1451888 37.4490545
-122.1487762 37.4530572
-122.1488196 37.4530875
-122.1487705 37.4520832
-122.1452388 37.4563637
-122.1465399 37.4493174
-122.1465296 37.4500953
-122.1505925 37.4540251
-122.1487997 37.4518038
-122.1510758 37.4543784
-122.1520853 37.4558985
-122.1486001 37.452448
-122.1485276 37.4531072
-122.1471014 37.4530229
-122.1503167 37.4539855
-122.1508711 37.454535
-122.1506017 37.4545184
-122.1486616 37.4517574
-122.1504103 37.4545493
-122.1500217 37.453793
-122.1500263 37.4540731
-122.1486446 37.4520932
-122.1498703 37.4545811
-122.1483798 37.4524617
-122.1498188 37.454007
-122.1497171 37.4545722
-122.1484532 37.4517804
-122.1414795 37.4541201
-122.1496043 37.4540498
-122.1527494 37.4567372
-122.1484104 37.4520433
-122.1495601 37.454594
-122.1471798 37.4532188
-122.144336 37.4490212
-122.1492766 37.4545824
-122.1516844 37.4561509
-122.149409 37.4540438
-122.1482671 37.4530121
-122.1490324 37.454617
-122.1481436 37.4524566
-122.1492175 37.4540225
-122.1523907 37.4568481
-122.151318 37.4554809
-122.1482797 37.4531521
-122.1472171 37.4533198
-122.1442033 37.4490161
-122.1487903 37.4546109
-122.1521762 37.4568055
-122.1489953 37.4540256
-122.1482334 37.4518568
-122.1482481 37.4533022
-122.1440227 37.448995
-122.151192 37.4560955
-122.1487502 37.4540196
-122.1467042 37.4532891
-122.1479608 37.4532961
-122.1471852 37.4534448
-122.1484747 37.4514057
-122.1479196 37.4525048
-122.1479846 37.4523242
-122.1521125 37.4564549
-122.1522213 37.4565197
-122.1438503 37.44901
-122.147988 37.4530279
-122.1479016 37.4531296
-122.1485872 37.4545656
-122.14718 37.4535822
-122.1485855 37.4540318
-122.1479942 37.451788
-122.1485738 37.4535189
-122.1480029 37.4520807
-122.1479717 37.4513474
-122.1510626 37.4554717
-122.1474057 37.4536172
-122.1516586 37.4564486
-122.1436017 37.4490088
-122.147779 37.4530116
-122.1475459 37.4535705
-122.1477545 37.4525338
-122.1483748 37.4540411
-122.1483148 37.4545725
-122.1476518 37.4535623
-122.1478087 37.4534825
-122.1597115 37.4541866
-122.1480081 37.4535142
-122.1481805 37.4535031
-122.1476083 37.452994
-122.1481986 37.4540014
-122.1480242 37.4545882
-122.1477737 37.4513824
-122.1475535 37.4525003
-122.147988 37.4540381
-122.1508255 37.4555469
-122.1478199 37.4518275
-122.1434521 37.4489901
-122.147436 37.4529971
-122.1481823 37.4537077
-122.1518717 37.4567022
-122.1480059 37.4537249
-122.1475733 37.4513587
-122.1477658 37.4540351
-122.1473059 37.4525424
-122.1472483 37.4530032
-122.1477907 37.4546192
-122.1477759 37.4537478
-122.1475804 37.4537588
-122.1475514 37.4540413
-122.1514484 37.4568443
-122.1474082 37.4537516
-122.1471515 37.453753
-122.1476425 37.451797
-122.1475074 37.4545513
-122.1473445 37.4540444
-122.147204 37.4545107
-122.1471952 37.4540384
-122.1448365 37.4509462
-122.1465564 37.4497724
-122.1465056 37.4505424
