lon lat cluster
-122.1184171 37.4154318 0
-122.1185859 37.4154561 0
-122.1187849 37.4154645 0
-122.1189472 37.4155259 0
-122.119148 37.4156005 0
-122.1193218 37.4156823 0
-122.1194864 37.4158258 0
-122.1199373 37.415856 0
-122.1184522 37.4158805 0
-122.1185378 37.4158824 0
-122.1186846 37.4159027 0
-122.1196012 37.4159399 0
-122.1188959 37.4159547 0
-122.1197342 37.4160573 0
-122.1190789 37.4161142 0
-122.1186215 37.4161742 0
-122.1201919 37.41623 0
-122.1191752 37.4162447 0
-122.1200136 37.4162607 0
-122.1198431 37.4162839 0
-122.1188198 37.4163213 0
-122.1197019 37.416353 0
-122.1192038 37.4163822 0
-122.1187801 37.4165105 0
-122.1191733 37.4165527 0
-122.1185027 37.4165794 0
-122.1207755 37.4166194 0
-122.1205389 37.4166326 0
-122.1203209 37.4166427 0
-122.1201172 37.4166938 0
-122.1189927 37.4167405 0
-122.1198933 37.4167445 0
-122.1188296 37.4168393 0
-122.1196879 37.4168457 0
-122.1186933 37.416869 0
-122.1205916 37.4168815 0
-122.1208092 37.416887 0
-122.1184854 37.4168947 0
-122.1203748 37.4169162 0
-122.121013 37.4169183 0
-122.1211994 37.4169476 0
-122.1201544 37.4169498 0
-122.1194978 37.4169626 0
-122.121415 37.417011 0
-122.1199756 37.4170136 0
-122.1193451 37.4170509 0
-122.121589 37.41712 0
-122.1197809 37.4171269 0
-122.1191687 37.4171973 0
-122.1216581 37.4172157 0
-122.1217762 37.4172262 0
-122.1196196 37.4172352 0
-122.1189721 37.4172549 0
-122.1187478 37.4172935 0
-122.1206656 37.4173086 0
-122.1219297 37.4173304 0
-122.1194103 37.4173425 0
-122.1208855 37.4173443 0
-122.1204342 37.4173527 0
-122.1210746 37.4173933 0
-122.1202198 37.4174294 0
-122.1220677 37.4174363 0
-122.1192263 37.4174468 0
-122.1212944 37.4174546 0
-122.1200722 37.4175066 0
-122.1190371 37.4175079 0
-122.1188226 37.4175591 0
-122.1183178 37.4175607 0
-122.1221203 37.4175779 0
-122.1208054 37.4175815 0
-122.1205595 37.4175843 0
-122.1214588 37.4176038 0
-122.121035 37.4176357 0
-122.1203621 37.4176389 0
-122.1198976 37.4176561 0
-122.1222562 37.417707 0
-122.1215471 37.4177223 0
-122.1211782 37.4177324 0
-122.1201814 37.4177518 0
-122.1183622 37.4177533 0
-122.1197655 37.4177611 0
