lon lat
-122.1131921 37.4377426
-122.1131089 37.4377911
-122.1130299 37.4378461
-122.1129443 37.4379036
-122.1128607 37.4374789
-122.1126548 37.4373667
-122.112782 37.4375394
-122.1126995 37.4375962
-122.1126017 37.437397
-122.1125531 37.4374262
-122.1126137 37.4376499
-122.1125011 37.4374578
-122.1124426 37.4374977
-122.1123971 37.4375318
-122.1123452 37.4375652
-122.1122904 37.4375968
-122.112259 37.4370308
-122.1124072 37.4371888
-122.1121885 37.437085
-122.1123599 37.4372205
-122.1122993 37.4372577
-122.1120991 37.4371394
-122.1120223 37.4371859
-122.1122493 37.4372942
-122.1119272 37.4372461
-122.1121988 37.4373215
-122.1121458 37.4373583
-122.1120949 37.4373913
-122.1115709 37.4365386
-122.1118157 37.4366891
-122.1115155 37.4365772
-122.1117648 37.4367221
-122.1116982 37.4367632
-122.1114615 37.4366112
-122.1114046 37.4366533
-122.1116504 37.4367989
-122.1113489 37.4366858
-122.1112899 37.436712
-122.1112416 37.4367516
-122.1115885 37.4368367
-122.1133185 37.4384011
-122.1135161 37.4376221
-122.1127745 37.4380221
-122.1134051 37.4375301
-122.1125606 37.4381028
-122.1126244 37.4382125
-122.1125842 37.4381787
-122.1125475 37.4381411
-122.1125073 37.4381092
-122.1124623 37.4380745
-122.1124279 37.4380311
-122.1127281 37.4379814
-122.1132828 37.4374462
-122.112679 37.4379363
-122.1126412 37.4378981
-122.1131464 37.4373482
-122.1122909 37.4378276
-122.1123346 37.4379461
-122.1122992 37.4379142
-122.1122637 37.4378746
-122.1122246 37.4378399
-122.112177 37.4377938
-122.1121425 37.4377466
-122.1125925 37.4378552
-122.1130383 37.43726
-122.1125465 37.4378157
-122.1129273 37.4371724
-122.1125062 37.437777
-122.1128067 37.4370849
-122.1126862 37.4370204
-122.1126007 37.4369116
-122.1118257 37.4371372
-122.1124984 37.4368288
-122.1118796 37.4374434
-122.1119362 37.4375696
-122.1118916 37.437528
-122.1118558 37.4374883
-122.1118135 37.4374561
-122.1117782 37.437418
-122.1117435 37.4373816
-122.111779 37.4370941
-122.1123855 37.4367467
-122.1117353 37.4370538
-122.1116924 37.4370143
-122.1122122 37.4366319
-122.1116072 37.4371878
-122.1116706 37.4373203
-122.1116454 37.4372938
-122.1115984 37.4372548
-122.1115608 37.437221
-122.1115151 37.4371776
-122.1114754 37.4371284
-122.1116508 37.4369702
-122.112106 37.4365442
-122.1113542 37.4369604
-122.1114047 37.4370582
-122.1113743 37.4370376
-122.11134 37.4369999
-122.111301 37.4369661
-122.1112236 37.4369262
-122.1115873 37.4369354
-122.1119972 37.4364592
-122.1118703 37.4363982
-122.1111324 37.4368215
