lon lat label
-122.1196196 37.4172352 10
-122.1200722 37.4175066 11
-122.1197809 37.4171269 12
-122.1199756 37.4170136 14
-122.1202198 37.4174294 15
-122.1201544 37.4169498 16
-122.1204342 37.4173527 17
-122.1203748 37.4169162 18
-122.1205916 37.4168815 20
-122.1206656 37.4173086 21
-122.1208092 37.416887 22
-122.1208855 37.4173443 23
-122.121013 37.4169183 24
-122.1211994 37.4169476 26
-122.1210746 37.4173933 27
-122.121415 37.417011 28
-122.1188226 37.4175591 2
-122.121589 37.41712 30
-122.1212944 37.4174546 31
-122.1217762 37.4172262 32
-122.1214588 37.4176038 33
-122.1219297 37.4173304 34
-122.1220677 37.4174363 36
-122.1215471 37.4177223 37
-122.1221203 37.4175779 38
-122.1222562 37.417707 40
-122.1216651 37.4178684 41
-122.1222084 37.4178725 42
-122.1222519 37.418017 44
-122.1216825 37.4180614 45
-122.1222387 37.4181581 46
-122.1216815 37.4182432 47
-122.1222211 37.418315 48
-122.1190371 37.4175079 4
-122.1221787 37.4184476 50
-122.1216165 37.4183952 51
-122.1221018 37.4185944 52
-122.1219846 37.4187681 54
-122.1215247 37.4185438 55
-122.1214424 37.4191689 58
-122.1211146 37.4188161 59
-122.1212117 37.4192766 60
-122.1208852 37.4188821 61
-122.1210048 37.4192982 62
-122.120781 37.4193502 64
-122.1206532 37.4188918 65
-122.1205896 37.4193324 66
-122.1203718 37.4193231 68
-122.1204343 37.4188904 69
-122.1192263 37.4174468 6
-122.1201891 37.4192816 70
-122.1202454 37.4188358 71
-122.1199963 37.4191935 72
-122.1197986 37.4191433 74
-122.1200678 37.4187208 75
-122.119607 37.419006 76
-122.1194751 37.4188925 78
-122.1199001 37.4186163 79
-122.1193838 37.4187318 80
-122.1197706 37.4184617 81
-122.1192723 37.4186093 82
-122.1192383 37.4184282 84
-122.1197222 37.4182973 85
-122.1191582 37.4182534 86
-122.1196862 37.418115 87
-122.1191528 37.4180845 88
-122.1194103 37.4173425 8
-122.1191702 37.4179241 90
-122.1197127 37.4179227 91
-122.1197655 37.4177611 93
-122.1198976 37.4176561 9
