lon lat
-122.1188226 37.4175591
-122.1190371 37.4175079
-122.1192263 37.4174468
-122.1194103 37.4173425
-122.1196196 37.4172352
-122.1197809 37.4171269
-122.1199756 37.4170136
-122.1201544 37.4169498
-122.1203748 37.4169162
-122.1205916 37.4168815
-122.1208092 37.416887
-122.121013 37.4169183
-122.1211994 37.4169476
-122.121415 37.417011
-122.121589 37.41712
-122.1217762 37.4172262
-122.1219297 37.4173304
-122.1220677 37.4174363
-122.1221203 37.4175779
-122.1222562 37.417707
-122.1222084 37.4178725
-122.1222519 37.418017
-122.1222387 37.4181581
-122.1222211 37.418315
-122.1221787 37.4184476
-122.1221018 37.4185944
-122.1219846 37.4187681
-122.1214424 37.4191689
-122.1212117 37.4192766
-122.1210048 37.4192982
-122.120781 37.4193502
-122.1205896 37.4193324
-122.1203718 37.4193231
-122.1201891 37.4192816
-122.1199963 37.4191935
-122.1197986 37.4191433
-122.119607 37.419006
-122.1194751 37.4188925
-122.1193838 37.4187318
-122.1192723 37.4186093
-122.1192383 37.4184282
-122.1191582 37.4182534
-122.1191528 37.4180845
-122.1191702 37.4179241
-122.1197655 37.4177611
-122.1197127 37.4179227
-122.1196862 37.418115
-122.1197222 37.4182973
-122.1197706 37.4184617
-122.1199001 37.4186163
-122.1200678 37.4187208
-122.1202454 37.4188358
-122.1204343 37.4188904
-122.1206532 37.4188918
-122.1208852 37.4188821
-122.1211146 37.4188161
-122.1215247 37.4185438
-122.1216165 37.4183952
-122.1216815 37.4182432
-122.1216825 37.4180614
-122.1216651 37.4178684
-122.1215471 37.4177223
-122.1214588 37.4176038
-122.1212944 37.4174546
-122.1210746 37.4173933
-122.1208855 37.4173443
-122.1206656 37.4173086
-122.1204342 37.4173527
-122.1202198 37.4174294
-122.1200722 37.4175066
-122.1198976 37.4176561
