lon lat label addrs
-122.13050265999998 37.39471499989911 S0 1
-122.12960313333332 37.39490903323247 S1 6
-122.13039315 37.39431769989906 S2 1
-122.12992165 37.39359904989897 S3 1
-122.129258 37.39340219989894 S4 2
-122.12912305 37.39339064989893 S5 1
-122.1292363 37.393088899898885 S6 2
-122.1287928 37.39185879989874 S7 3
-122.12816084999999 37.391217924898655 S8 4
-122.12796759999999 37.390565366565234 S9 3
-122.1275424 37.390056719898496 S10 2
-122.13038957499998 37.39499292489915 S11 3
-122.12905735833334 37.39416708323238 S12 14
-122.12853761666668 37.392966866565544 S13 11
